ref_id,reference,primary_genes,mitochondrial_processes,senescence_terms,omics_or_methods,knowledge_role,knowledge_role_detail,classification_basis
76,"Naón, D., Hernández-Alvarez, M.I., Shinjo, S., Wieczor, M., Ivanova, S., Martins de Brito, O., Quintana, A., Hidalgo, J., Palacín, M., Aparicio, P., Castellanos, J., Lores, L., Sebastián, D., Fernández-Veledo, S., Vendrell, J., Joven, J., Orozco, M., Zorzano, A., & Scorrano, L. (2023). Splice variants of mitofusin 2 shape the endoplasmic reticulum and tether it to mitochondria. Science, 380(6651), eadh9351. https://doi.org/10.1126/science.adh9351",MFN2,mitochondrial fusion,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
77,"Muñoz, J.P., Ivanova, S., Sánchez-Wandelmer, J., Martínez-Cristóbal, P., Noguera, E., Sancho, A., Díaz-Ramos, A., Hernández-Álvarez, M.I., Sebastián, D., Mauvezin, C., Palacín, M., & Zorzano, A. (2013). Mfn2 modulates the UPR and mitochondrial function via repression of PERK. EMBO Journal, 32(17), 2348–2361. https://doi.org/10.1038/emboj.2013.168",MFN2,mitochondrial fusion; mitochondrial function,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
78,"Sebastián, D., Sorianello, E., Segalés, J., Irazoki, A., Ruiz-Bonilla, V., Sala, D., Planet, E., Hernández-Álvarez, M.I., Muñoz, J.P., Cortés, C., Zierath, J.R., Serrano, A.L., & Zorzano, A. (2016). Mfn2 deficiency links age-related sarcopenia and impaired autophagy to activation of an adaptive mitophagy pathway. EMBO Journal, 35(15), 1677–1693. https://doi.org/10.15252/embj.201593084",MFN2,mitochondrial fusion; mitophagy; mitochondrial quality control,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
79,"Li, J., Yang, Z., Song, H., Yang, L., Na, K., Mei, Z., Zhang, S., Liu, J., Xu, K., Yan, C., & Wang, X. (2024). The role of mitofusin 2 in regulating endothelial cell senescence: implications for vascular aging. iScience, 27(9), 110809. https://doi.org/10.1016/j.isci.2024.110809",MFN2,mitochondrial fusion,senescence; aging,,Directly relevant,Core gene/mechanism evidence,Automated keyword classification from reference metadata/title text; requires audit
80,"Li, J., Dang, X., Franco, A., & Dorn, G.W. (2022). Reciprocal regulation of mitofusin 2-mediated mitophagy and mitochondrial fusion by different PINK1 phosphorylation events. Frontiers in Cell and Developmental Biology, 10, 868465. https://doi.org/10.3389/fcell.2022.868465",MFN2; PINK1,mitochondrial fusion; mitophagy; mitochondrial quality control,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
81,"Kondapalli, C., Kazlauskaite, A., Zhang, N., Woodroof, H.I., Campbell, D.G., Gourlay, R., Burchell, L., Walden, H., Macartney, T.J., Deak, M., Knebel, A., Alessi, D.R., & Muqit, M.M.K. (2012). PINK1 is activated by mitochondrial membrane potential depolarization and stimulates Parkin E3 ligase activity by phosphorylating Serine 65. Open Biology, 2(5), 120080. https://doi.org/10.1098/rsob.120080",PINK1; PRKN/PARK2,mitophagy,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
82,"Thayer, J.A., Petersen, J.D., Huang, X., Gruel Budet, L.M., Hawrot, J., Ramos, D.M., Sekine, S., Li, Y., Ward, M.E., & Narendra, D.P. (2025). A unified mechanism for mitochondrial damage sensing in PINK1-Parkin-mediated mitophagy. EMBO Journal, 45(1), 64–105. https://doi.org/10.1038/s44318-025-00604-z",PINK1; PRKN/PARK2,mitophagy; mitochondrial quality control,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
83,"Kelly, G., Kataura, T., Panek, J., Ma, G., Salmonowicz, H., Davis, A., Kendall, H., Brookes, C., Ayine-Tora, D.M., Banks, P., Nelson, G., Dobby, L., Pitrez, P.R., Booth, L., Costello, L., Richardson, G.D., Lovat, P., Przyborski, S., Ferreira, L., Greaves, L., Szczepanowska, K., von Zglinicki, T., Miwa, S., Brown, M., Flagler, M., Oblong, J.E., Bascom, C.C., Carroll, B., Reynisson, J., & Korolchuk, V.I. (2024). Suppressed basal mitophagy drives cellular aging phenotypes that can be reversed by a p62-targeting small molecule. Developmental Cell, 59(15), 1924–1939. https://doi.org/10.1016/j.devcel.2024.04.020",,mitophagy; mitochondrial quality control,aging,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
84,"Victorelli, S., Salmonowicz, H., Chapman, J., Martini, H., Vizioli, M.G., Riley, J.S., Cloix, C., Hall-Younger, E., Machado Espindola-Netto, J., Jurk, D., Lagnado, A.B., Sales Gomez, L., Farr, J.N., Saul, D., Reed, R., Kelly, G., Eppard, M., Greaves, L.C., Dou, Z., Pirius, N., Szczepanowska, K., Porritt, R.A., Huang, H., Huang, T.Y., Mann, D.A., Masuda, C.A., Khosla, S., Dai, H., Kaufmann, S.H., Zacharioudakis, E., Gavathiotis, E., LeBrasseur, N.K., Lei, X., Sainz, A.G., Korolchuk, V.I., Adams, P.D., Shadel, G.S., Tait, S.W.G., & Passos, J.F. (2023). Apoptotic stress causes mtDNA release during senescence and drives the SASP. Nature, 622(7983), 627–636. https://doi.org/10.1038/s41586-023-06621-4",,mtDNA/cGAS-STING,senescence; sasp,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
85,"Bock, F.J., & Tait, S.W.G. (2020). Mitochondria as multifaceted regulators of cell death. Nature Reviews Molecular Cell Biology, 21(2), 85–100. https://doi.org/10.1038/s41580-019-0173-8",,,,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
86,"West, A.P., Khoury-Hanold, W., Staron, M., Tal, M.C., Pineda, C.M., Lang, S.M., Bestwick, M., Duguay, B.A., Raimundo, N., MacDuff, D.A., Kaech, S.M., Smiley, J.R., Means, R.E., Iwasaki, A., & Shadel, G.S. (2015). Mitochondrial DNA stress primes the antiviral innate immune response. Nature, 520(7548), 553–557. https://doi.org/10.1038/nature14156",,,,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
87,"Tigano, M., Vargas, D.C., Tremblay-Belzile, S., Fu, Y., & Sfeir, A. (2021). Nuclear sensing of breaks in mitochondrial DNA enhances immune surveillance. Nature, 591(7850), 477–481. https://doi.org/10.1038/s41586-021-03269-w",,,,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
88,"Nacarelli, T., Lau, L., Fukumoto, T., Zundell, J., Fatkhutdinov, N., Wu, S., Aird, K.M., Iwasaki, O., Kossenkov, A.V., Schultz, D., Noma, K.-I., Baur, J.A., Schug, Z., Tang, H.-Y., Speicher, D.W., David, G., & Zhang, R. (2019). NAD+ metabolism governs the proinflammatory senescence-associated secretome. Nature Cell Biology, 21(3), 397–407. https://doi.org/10.1038/s41556-019-0287-4",,NAD metabolism,senescence,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
89,"Curnock, R., Yalci, K., Palmfeldt, J., Jäättelä, M., Liu, B., & Carroll, B. (2023). TFEB-dependent lysosome biogenesis is required for senescence. EMBO Journal, 42(9), e111241. https://doi.org/10.15252/embj.2022111241",,,senescence,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
90,"Gomes, L.C., Di Benedetto, G., & Scorrano, L. (2011). During autophagy mitochondria elongate, are spared from degradation and sustain cell viability. Nature Cell Biology, 13(5), 589–598. https://doi.org/10.1038/ncb2220",,,,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
91,"Cassidy-Stone, A., Chipuk, J.E., Ingerman, E., Song, C., Yoo, C., Kuwana, T., Kurth, M.J., Shaw, J.T., Hinshaw, J.E., Green, D.R., & Nunnari, J. (2008). Chemical inhibition of the mitochondrial division dynamin reveals its role in Bax/Bak-dependent mitochondrial outer membrane permeabilization. Developmental Cell, 14(2), 193–204. https://doi.org/10.1016/j.devcel.2007.11.019",,mitochondrial fission,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
92,"Franco, A., Kitsis, R.N., Fleischer, J.A., Gavathiotis, E., Kornfeld, O.S., Gong, G., Biris, N., Benz, A., Qvit, N., Donnelly, S.K., Chen, Y., Mennerick, S., Hodgson, L., Mochly-Rosen, D., & Dorn, G.W. (2016). Correcting mitochondrial fusion by manipulating mitofusin conformations. Nature, 540(7631), 74–79. https://doi.org/10.1038/nature20156",,mitochondrial fusion; mitochondrial ROS,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
93,"Yoshino, J., Baur, J.A., & Imai, S.I. (2018). NAD+ intermediates: the biology and therapeutic potential of NMN and NR. Cell Metabolism, 27(3), 513–528. https://doi.org/10.1016/j.cmet.2017.11.002",,NAD metabolism,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
94,"Justice, J.N., Nambiar, A.M., Tchkonia, T., LeBrasseur, N.K., Pascual, R., Hashmi, S.K., Prata, L., Masternak, M.M., Kritchevsky, S.B., Musi, N., & Kirkland, J.L. (2019). Senolytics in idiopathic pulmonary fibrosis: results from a first-in-human, open-label, pilot study. EBioMedicine, 40, 554–563. https://doi.org/10.1016/j.ebiom.2018.12.052",,mitochondrial ROS,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
95,"Islam, M.T., Tuday, E., Allen, S., Kim, J., Trott, D.W., Holland, W.L., Donato, A.J., & Lesniewski, L.A. (2023). Senolytic drugs, dasatinib and quercetin, attenuate adipose tissue inflammation and ameliorate metabolic dysfunction in old mice. Aging Cell, 22(2), e13767. https://doi.org/10.1111/acel.13767",,,aging,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
96,"Jones, R.G., Plas, D.R., Kubek, S., Buzzai, M., Mu, J., Xu, Y., Birnbaum, M.J., & Thompson, C.B. (2005). AMP-activated protein kinase induces a p53-dependent metabolic checkpoint. Molecular Cell, 18(3), 283–293. https://doi.org/10.1016/j.molcel.2005.03.027",,,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
97,"Carroll, B., Nelson, G., Rabanal-Ruiz, Y., Kucheryavenko, O., Dunhill-Turner, N.A., Chesterman, C.C., Zahari, Q., Zhang, T., Conduit, S.E., Mitchell, C.A., Maddocks, O.D.K., Lovat, P., von Zglinicki, T., & Korolchuk, V.I. (2017). Persistent mTORC1 signaling in cell senescence results from defects in amino acid and growth factor sensing. Journal of Cell Biology, 216(7), 1949–1957. https://doi.org/10.1083/jcb.201610113",,mTOR/AMPK signaling,senescence,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
98,"Carroll, B., & Korolchuk, V.I. (2018). Nutrient sensing, growth and senescence. FEBS Journal, 285(11), 1948–1958. https://doi.org/10.1111/febs.14400",,,senescence,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
99,"Morita, M., Gravel, S.P., Chénard, V., Sikström, K., Zheng, L., Alain, T., Gandin, V., Avizonis, D., Arguello, M., Zakaria, C., McLaughlan, S., Nouet, Y., Pause, A., Pollak, M., Gottlieb, E., Larsson, O., St-Pierre, J., Topisirovic, I., & Sonenberg, N. (2013). mTORC1 controls mitochondrial activity and biogenesis through 4E-BP-dependent translational regulation. Cell Metabolism, 18(5), 698–711. https://doi.org/10.1016/j.cmet.2013.10.001",,mTOR/AMPK signaling,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
100,"Rodgers, J.T., Lerin, C., Haas, W., Gygi, S.P., Spiegelman, B.M., & Puigserver, P. (2005). Nutrient control of glucose homeostasis through a complex of PGC-1α and SIRT1. Nature, 434(7029), 113–118. https://doi.org/10.1038/nature03354",,,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
101,"Luck, K., Kim, D.K., Lambourne, L., Spirohn, K., Begg, B.E., Bian, W., Brignall, R., Cafarelli, T., Campos-Laborie, F.J., Charloteaux, B., Choi, D., Coté, A.G., Daley, M., Deimling, S., Desbuleux, A., Dricot, A., Gebbia, M., Hardy, M.F., Kishore, N., Knapp, J.J., Kovács, I.A., Lemmens, I., Mee, M.W., Mellor, J.C., Pollis, C., Pons, C., Richardson, A.D., Schlabach, S., Teekhapuanyakul, B., Tomkins-Tinch, C., Uhlen, M., & Vidal, M. (2020). A reference map of the human binary protein interactome. Nature, 580(7803), 402–408. https://doi.org/10.1038/s41586-020-2188-x",,,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
102,"Su, G., Morris, J.H., Demchak, B., & Bader, G.D. (2014). Biological network exploration with Cytoscape 3. Current Protocols in Bioinformatics, 47, 8.13.1–8.13.24. https://doi.org/10.1002/0471250953.bi0813s47",,,,cytoscape; network,Methodologically relevant,Methods/pipeline knowledge,Automated keyword classification from reference metadata/title text; requires audit
103,"Quirós, P.M., Mottis, A., & Auwerx, J. (2016). Mitonuclear communication in homeostasis and stress. Nature Reviews Molecular Cell Biology, 17(4), 213–226. https://doi.org/10.1038/nrm.2016.23",,NAD metabolism,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
104,"Mottis, A., Herzig, S., & Auwerx, J. (2019). Mitocellular communication: Shaping health and disease. Science, 366(6464), 827–832. https://doi.org/10.1126/science.aax3768",,,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
105,"Dookun, E., Passos, J.F., Arthur, H.M., & Richardson, G.D. (2022). Therapeutic potential of senolytics in cardiovascular disease. Cardiovascular Drugs and Therapy, 36(1), 187–196. https://doi.org/10.1007/s10557-020-07075-w",,,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
106,"Barzilai, N., Crandall, J.P., Kritchevsky, S.B., & Espeland, M.A. (2016). Metformin as a tool to target aging. Cell Metabolism, 23(6), 1060–1065. https://doi.org/10.1016/j.cmet.2016.05.011",,,aging,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
107,"Oyewole, A.O., & Birch-Machin, M.A. (2015). Mitochondria-targeted antioxidants. FASEB Journal, 29(12), 4766–4771. https://doi.org/10.1096/fj.15-275404",,,,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
108,"Apostolova, N., Iannantuoni, F., Gruevska, A., Munté, J., Rocha, M., & Victor, V.M. (2020). Mechanisms of action of metformin in type 2 diabetes: effects on mitochondria and leukocyte-endothelium interactions. Redox Biology, 34, 101517. https://doi.org/10.1016/j.redox.2020.101517",,,,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
109,"Bradley, E., & Haran, J. (2024). The human gut microbiome and aging. Gut Microbes, 16(1), 2359677. https://doi.org/10.1080/19490976.2024.2359677",,,aging,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
110,"Jang, D.H., Shin, J.W., Shim, E., Ohtani, N., & Jeon, O.H. (2024). The connection between aging, cellular senescence and gut microbiome alterations: A comprehensive review. Aging Cell, 23(10), e14315. https://doi.org/10.1111/acel.14315",,,cellular senescence; senescence; aging,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
111,"Rees, N.P., Conway, J., Dugan, B., Amir, S.S., Parker, A., Carding, S.R., & Duggal, N.A. (2025). Defining microbiota-derived metabolite butyrate as a senomorphic: Therapeutic potential in the age-related T cell senescence. Aging Cell, e70257. https://doi.org/10.1111/acel.70257",,,senescence; aging,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
112,"Wan, W., Hua, F., Fang, P., Li, C., Deng, F., Chen, S., Ying, J., & Wang, X. (2022). Regulation of mitophagy by sirtuin family proteins: A vital role in aging and age-related diseases. Frontiers in Aging Neuroscience, 14, 845330. https://doi.org/10.3389/fnagi.2022.845330",,mitophagy; mitochondrial quality control; mitochondrial ROS,aging,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
113,"Andreux, P.A., Blanco-Bose, W., Ryu, D., Burdet, F., Ibberson, M., Aebischer, P., Auwerx, J., Singh, A., & Rinsch, C. (2019). The mitophagy activator urolithin A is safe and induces a molecular signature of improved mitochondrial and cellular health in humans. Nature Metabolism, 1, 595–603. https://doi.org/10.1038/s42255-019-0073-4",,mitophagy; mitochondrial quality control,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
114,"Lynch, S., Boyett, J.E., Smith, M.R., & Giordano-Mooga, S. (2021). Sex hormone regulation of proteins modulating mitochondrial metabolism, dynamics and inter-organellar cross talk in cardiovascular disease. Frontiers in Cell and Developmental Biology, 8, 610516. https://doi.org/10.3389/fcell.2020.610516",,mitochondrial ROS,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
115,"Piños, T., Nogales-Gadea, G., Ruiz, J.R., Rodríguez-Romo, G., Santiago-Dorrego, C., Fiuza-Luces, C., Gómez-Gallego, F., Cano-Nieto, A., Garatachea, N., Morán, M., Martín, M.A., Arenas, J., Andreu, A.L., & Lucia, A. (2012). Are mitochondrial haplogroups associated with extreme longevity? A study on a Spanish cohort. Age (Dordrecht), 34(1), 227–233. https://doi.org/10.1007/s11357-011-9209-5",,,,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
116,"GTEx Consortium. (2020). The GTEx Consortium atlas of genetic regulatory effects across human tissues. Science, 369(6509), 1318–1330. https://doi.org/10.1126/science.aaz1776",,mitochondrial ROS,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
117,"Viechtbauer, W. (2010). Conducting meta-analyses in R with the metafor package. Journal of Statistical Software, 36(3), 1–48. https://doi.org/10.18637/jss.v036.i03",,,,metafor,Methodologically relevant,Methods/pipeline knowledge,Automated keyword classification from reference metadata/title text; requires audit
118,"Langfelder, P., & Horvath, S. (2008). WGCNA: an R package for weighted correlation network analysis. BMC Bioinformatics, 9, 559. https://doi.org/10.1186/1471-2105-9-559",,,,wgcna; network,Methodologically relevant,Methods/pipeline knowledge,Automated keyword classification from reference metadata/title text; requires audit
119,"Hao, Y., Stuart, T., Kowalski, M.H., Choudhary, S., Hoffman, P., Hartman, A., Srivastava, A., Molla, G., Madad, S., Fernandez-Granda, C., & Satija, R. (2023). Dictionary learning for integrative, multimodal and scalable single-cell analysis. Nature Biotechnology, 42, 293–304. https://doi.org/10.1038/s41587-023-01767-y",,,,single-cell,Methodologically relevant,Methods/pipeline knowledge,Automated keyword classification from reference metadata/title text; requires audit
120,"Argelaguet, R., Arnol, D., Bredikhin, D., Deloro, Y., Velten, B., Marioni, J.C., & Stegle, O. (2020). MOFA+: a statistical framework for comprehensive integration of multi-modal single-cell data. Genome Biology, 21, 111. https://doi.org/10.1186/s13059-020-02015-1",,,,single-cell; mofa,Methodologically relevant,Methods/pipeline knowledge,Automated keyword classification from reference metadata/title text; requires audit
121,"Kim, D., Paggi, J.M., Park, C., Bennett, C., & Salzberg, S.L. (2019). Graph-based genome alignment and genotyping with HISAT2 and HISAT-genotype. Nature Biotechnology, 37(8), 907–915. https://doi.org/10.1038/s41587-019-0201-4",,,,hisat2,Methodologically relevant,Methods/pipeline knowledge,Automated keyword classification from reference metadata/title text; requires audit
122,"Love, M.I., Huber, W., & Anders, S. (2014). Moderated estimation of fold change and dispersion for RNA-seq data with DESeq2. Genome Biology, 15(12), 550. https://doi.org/10.1186/s13059-014-0550-8",,,,rna-seq; deseq2,Methodologically relevant,Methods/pipeline knowledge,Automated keyword classification from reference metadata/title text; requires audit
123,"Campisi, J., Kapahi, P., Lithgow, G.J., Melov, S., Newman, J.C., & Verdin, E. (2019). From discoveries in ageing research to therapeutics for healthy ageing. Nature, 571(7764), 183–192. https://doi.org/10.1038/s41586-019-1365-2",,,ageing,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
124,"Rea, I.M., Gibson, D.S., McGilligan, V., McNerlan, S.E., Alexander, H.D., & Ross, O.A. (2018). Age and Age-Related Diseases: Role of Inflammation Triggers and Cytokines. Frontiers in Immunology, 9, 586. https://doi.org/10.3389/fimmu.2018.00586",,mitochondrial ROS,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
125,"Suen, D.F., Norris, K.L., & Youle, R.J. (2008). Mitochondrial dynamics and apoptosis. Genes & Development, 22(12), 1577–1590. https://doi.org/10.1101/gad.1658508",,,,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
126,"Rabanal-Ruiz, Y., & Korolchuk, V.I. (2018). mTORC1 and nutrient homeostasis: the central role of the lysosome. International Journal of Molecular Sciences, 19(3), 818. https://doi.org/10.3390/ijms19030818",,mTOR/AMPK signaling,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
127,"Rambold, A.S., Kostelecky, B., Elia, N., & Lippincott-Schwartz, J. (2011). Tubular network formation protects mitochondria from autophagosomal degradation during nutrient starvation. PNAS, 108(25), 10190–10195. https://doi.org/10.1073/pnas.1107402108",,,,network,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
